GeneID,Uniprot,Synonyms,Target,PTM,Fluor,Species,Clone,Isotype,Reactivity,Vendor,Cat No,Channel,Expected,Hs_confidence,Hs_signoff,Mm_confidence,Mm_signoff,JRL_bio,SM_notes,SS_list,dil,expt_TON,sample_TON,cyc_TON,ch_TON,dil_TON,eval_TON,TMA_expt,TMA_sample,TMA_cyc,TMA_ch,,eval_TMA,other,sample,ch,cycle,note
VIM,P08670,,Vimentin,none,Alexa Fluor 647,mouse,O91D3,IgG2a,,BioLegend,677807,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,2000,ZM_AbVal2,TON1,7,4,,,cued,,,,,,,,,,
IFNG,P01579,,IFNG,none,Alexa Fluor 488,xxx,4S.B3,xxx,,BioLegend,502517,FITC/488,xxx,Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON1,11,2,,,x,,,,,,,,,,
FCGR3,P08637;O75015,,CD16,none,Alexa Fluor 647,mouse,DJ130c,IgG1,H (no others mentioned),Santa Cruz Biotechnologies,sc-20052 AF647,647/Cy5,"mac, mono, PMN, NK",Level 2,,,,no comment,no comment,no comment,x,CAJ_AbVal6,TON2,4,4,,,CAJ_TMA1,TMA1,7,4,,,ZM1_149_MART1,AD;PS,8,4,cycif1_149 AD CD163+ cells
ARG1,P05089,,ARG1,none,FITC,rabbit,polyclonal,IgG,,LS Bio,LS-C447908,FITC/488,,in progress,,,,,,,300,CAJ_AbVal6,TON2,5,2,,"MAYBE (). High bg, cytoplasmic staining of some cells.",CAJ_TMA8_10,TMA10,14,2,ARG1,100,ZM2_009_VIGNESH,CHL_EBV,8,2,
ARG1,P05089,,ARG1,none,FITC,rabbit,polyclonal,IgG,,LS Bio,LS-C447914,FITC/488,,in progress,,,,,,,200,CAJ_AbVal6,TON2,6,2,,NO signal (200),CAJ_TMA8_10,TMA10,15,2,ARG1,100,ZM2_009_VIGNESH,CHL_EBV,9,2,
CMA1,P23946,Mast Cell Chymase,CMA1,none,none,goat,polyclonal,IgG,H,Abcam,ab111239,"primary, goat",xxx,Level 2,,,,no comment,no comment,Ongoing,200,CAJ_AbVal5,TON2,3,3,100,Cytoplasmic. Saturating in MC tryptase-positive cells.,CAJ_TMA11_13,TMA11,3,3,Chymase,~3uL,AM_TB,TB_B5;TB_C3_TB_E1,3,3,
MLXIPL,Q9NP71,BHLHD14,chREBP,none,none,rabbit,polyclonal,IgG,,Abcam,ab92809,"primary, rabbit",,in progress,,,,,,,x,CAJ_AbVal7,TON2,3,2,100,,CAJ_TMA11_13,TMA11,3,2,chREBP,100,,,,,
MKI67,P46013,,KI67,none,eFluor 570,rat,SolA15,IgG2a,H M Rt,Thermo Fisher,41-5698-82,PE/555/Cy3,,in progress,,Level 2,,,,,300,CAJ_AbVal7,TON2,7,3,,GOOD (300) with 0.2s exp.,CAJ_TMA11_13,TMA11,14,3,KI67,300,,,,,
EPCAM,P16422,CD326,EpCAM,none,Phycoerythrin,xxx,9C4,xxx,,BioLegend,324205,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,ZM_AbVal2,TON2,6,3,,,CAJ_TMA11_13,TMA11,15,3,EpCAM,200,,,,,
TTF1,Q15361,,TTF1,none,Alexa Fluor 647,rabbit,EP1584Y,IgG,H M Rt,Abcam,ab196517,647/Cy5,xxx,Level 1,,,,Level 2,no comment,Works: Stains positive nuclei in lung adenocarcinoma. Cytoplasmic staining in other tumors (HGSOC and SCLC tested),200,CAJ_AbVal5,TON2,5,4,,discontinued,CAJ_TMA11_13,TMA12,11,4,TTF1,200,ZM2_009_VIGNESH,Thymus,11,4,GOOD staining of blood vessel walls
,,,CCNA2,none,Alexa Fluor 647,rabbit,EPR17351,IgG,H M Rt,Abcam,ab216303,,,,,,,,,,,Z103_CAJ_AbVal14,TON2,7,4,CCNA2,300,CAJ_TMA11_13,TMA12,15,4,Cyclin A2,300,,,,,
GZMB,P10144,CTLA1;CGL1;CSPB; Granzyme B,GzB,none,none,mouse,GrB-7,IgG2a,,Dako,M7235,"primary, mouse",xxx,Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal1,TON2,2,4,100,Cytosplasmic or Golgi staining in a rare cell population.,CAJ_TMA11_13,TMA12,3,4,Granzyme B,50,,,,,
CD28,P10747,,CD28,none,Alexa Fluor 488,mouse,CD28.2,IgG1,,Santa Cruz Biotechnologies,sc-19655 AF488,FITC/488,,in progress,,,,,,,x,CAJ_AbVal4,TON2,5,2,,,CAJ_TMA11_13,TMA13,6,2,CD28,100,,,,,
ACTB,P60709,,"Actin, beta",none,Alexa Fluor 555,xxx,13E5,xxx,,CST,8046S,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,200,CAJ_AbVal5,TON2,8,3,,GOOD (200). Ubiquitous cytoplasmic staining with a few cells brighter than normal.,CAJ_TMA11_13,TMA13,7,3,ACTB,300,,,,,
TNFRSF4,P43489,OX40,CD134,none,Alexa Fluor 647,mouse,Ber-ACT35,IgG1,,BioLegend,350018,647/Cy5,activated T-cells,Level 2,,,,no comment,no comment,no comment,150,CAJ_AbVal1,TON2,8,4,,,CAJ_TMA2_4,TMA2,12,4,,,ZM1_149_MART1,AD;PS,6,4,
CD28,P10747,,CD28,none,Alexa Fluor 488,mouse,CD28.2,IgG1,,BioLegend,302916,FITC/488,,in progress,,,,,,,x,CAJ_AbVal1,TON2,8,2,,,CAJ_TMA2_4,TMA2,6,2,,,,,,,
CDH1,P12830,CD324,ECad,none,Alexa Fluor 488,rabbit,clone 24E10,IgG,H M,CST,3199S,FITC/488,xxx,Level 2,Triplet,Level 2,,Level 2,Level 2,Works,500,CAJ_AbVal7,TON2,4,2,,GOOD,CAJ_TMA2_4,TMA2,4,2,,,,,,,
NCAM1,P13591,NCAM,CD56,none,Alexa Fluor 647,mouse,123C3,IgG1,,Santa Cruz Biotechnologies,sc-7326 AF647,647/Cy5,,Level 2,VS-CTLC project,,,,,,x,CAJ_AbVal4,TON2,5,4,,,CAJ_TMA2_4,TMA3,6,4,,,AM_TB,TB_B5;TB_C3_TB_E1,17,4,
CLEC2D,Q9UHP7,CLAX;OCIL;LLT1,CLEC2D,none,none,goat,polyclonal,IgG,,Abcam,ab111105,"primary, goat",,in progress,,,,,,,50,CAJ_AbVal6,TON2,3,3,50,Cytoplasmic. Rare cell types co-staining a small island of CD161. Not co-staining with Rabbit CLECD antibody.,CAJ_TMA2_4,TMA3,3,3,,,,,,,
KLRC2,P26717,NKG2C;KLRC2,CD159C,none,Alexa Fluor 647,mouse,clone 134591,IgG1,,R&D Systems,FAB138R-025,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal6,TON2,8,4,,,CAJ_TMA2_4,TMA3,5,4,,,,,,,
PAX8,Q06710,,Pax8,none,Alexa Fluor 647,rabbit,EPR18715,IgG,H,Abcam,ab215953,647/Cy5,,in progress,,,,,,,300,CAJ_AbVal9,TON2,8,4,,NO signal (200),CAJ_TMA2_4,TMA3,13,4,,GOOD. Particularly good staining of HGSOC,,,,,
ITGA6,P23229,VLA6,CD49F,none,Phycoerythrin,rat,HGoH3,IgG2a,,Abcam,ab95703,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal4,TON2,5,3,,,CAJ_TMA2_4,TMA4,13,3,,,ZM2_009_VIGNESH,ALL_ALK1,11,3,
CD83,Q01151,,CD83,none,Phycoerythrin,mouse,HB15e,IgG1,,BioLegend,305308,PE/555/Cy3,"mono, DC, endothelium",in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal1,TON2,8,3,,,CAJ_TMA2_4,TMA4,6,3,,,ZM1_151_VIT,LP;MEL;NL;VIT,9,3,
SLC2A2,P11168,,GLUT2,none,none,goat,polyclonal,IgG,,Abcam,ab111117,"primary, goat",,in progress (should be cytoplasmic in colonic epithelium),,,,,,,200,CAJ_AbVal5,TON2,3,3,200,Nuclear in most cells. Rare cells have weak cytoplasmic staining.,CAJ_TMA2_4,TMA4,3,3,,,,,,,
CD86,P42081,B7-2;CD28LG2,CD86,none,Alexa Fluor 647,mouse,IT2.2,IgG2b,,BioLegend,305416,647/Cy5,"CD14+ or CD33+ myeloid, DC",in progress,ZM1_121,,,no comment,no comment,no comment,x,ZM_AbVal2,TON2,9,4,,,CAJ_TMA2_4,TMA4,9,4,,,,,,,
,,,CK_pan,none,eFluor 570,mouse,AE1/AE3,IgG1,,eBioscience,41-9003-80,PE/555/Cy3,xxx,Level 3,DuZ_ImmuneProfiling; Triplet,,,Level 2,Level 2,Works,1000,CAJ_AbVal11,TON2,7,3,,,CAJ_TMA5_7,TMA5,4,3,,,ZM1_151_VIT,LP;MEL;NL;VIT,4,3,
ERBB2,P04626,EGFR2,HER2,none,Phycoerythrin,rabbit,29D8,IgG,,CST,98710S,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal11,TON2,6,3,,,CAJ_TMA5_7,TMA5,14,3,,,,,,,
KRT17,Q04695,,CK17,none,Alexa Fluor 488,rabbit,EP1623,IgG,H (M Rt),Abcam,ab185032,FITC/488,,in progress,,Level 1,,,,,x,CAJ_AbVal5,TON2,7,2,,,CAJ_TMA5_7,TMA5,12,2,,,,,,,
KRT7,P08729,,CK7,none,Alexa Fluor 555,rabbit,EPR17078,IgG,H (M Rt),Abcam,ab209601,PE/555/Cy3,,in progress,,Level 2,,,,,3000,CAJ_AbVal5,TON2,7,3,,,CAJ_TMA5_7,TMA5,8,3,"GREAT - high Lung AC staining, some PDAC, negative elsewhere",,,,,,
KRT8;KRT18,multiple,,CK8/18,none,Alexa Fluor 488,rabbit,EP1628Y,IgG,H M,Abcam,ab192467,FITC/488,xxx,Level 1,,Level 1,,no comment,no comment,Works (signal too strong),x,CAJ_AbVal5,TON2,8,2,,,CAJ_TMA5_7,TMA5,11,2,,,,,,,
GATA4,P43694,GATA4,GATA4,none,Phycoerythrin,mouse,G4,IgG2a,H M Rt,Santa Cruz Biotechnologies,sc-25310-PE,PE/555/Cy3,,in progress,,Level 1,,,,,x,CAJ_AbVal6,TON2,8,3,,,CAJ_TMA5_7,TMA6,14,3,,,,,,,
MME,P08473,MME; Neprilysin,CD10,none,none,mouse,56C6,xxx,,Abcam,ab951,"primary, mouse","Neprilysin, B-cell lineage, leukemias, ALL (Dx)",Level 1,,,,no comment,no comment,Works better,x,CAJ_AbVal7,TON2,3,4,100,"Cytoplasmic. A few rare non-immune cell types are bright, rest are rare.",CAJ_TMA5_7,TMA6,3,4,,,,,,,
,,,CD45RO,none,Alexa Fluor 488,mouse,UCHL1,IgG2a,,BioLegend,304212,FITC/488,naive T-cells,Level 0,Triplet,,,Level 0,Level 0,no comment,x,ZM_AbVal1,TON2,5,2,,Stains. 300.,CAJ_TMA5_7,TMA6,11,2,,,,,,,
FOXO1,Q12778,FKHR,FOXO1A,none,Alexa Fluor 555,rabbit,EP927Y,IgG,,Abcam,AB207244,PE/555/Cy3,xxx,Level 2,,Level 0,,Level 2,Level 2,JERRY,x,ZM_AbVal1,TON2,8,3,,,CAJ_TMA5_7,TMA6,8,3,,,,,,,
,Q15910,,EZH2,none,Alexa Fluor 647,xxx,xxx,xxx,,CST,45638S,647/Cy5,xxx,Level 1,,,,no comment,no comment,Works,200,CAJ_AbVal11,TON2,8,4,,,CAJ_TMA5_7,TMA7,14,4,,"GOOD. Nuclear staining, good signal to noise.",ZM2_029_ALL2,ALL2,13,4,
MKI67,P46013,,Ki67,none,Alexa Fluor 488,rabbit,D3B5,IgG,H M Rt,CST,11882S,FITC/488,xxx,Level 3,DuZ_ImmuneProfiling; Triplet,Level 2,,Level 2,Level 2,Works,x,Z103_CAJ_AbVal14,TON2,7,2,KI67,200,CAJ_TMA5_7,TMA7,11,2,,,AM_TB,TB_B5;TB_C3_TB_E1,11,2,
TFEB,P19484,,TFEB,none,none,goat,polyclonal,IgG,,Abcam,ab2636,"primary, goat",,Level 1 (ton),,,,,,,200,CAJ_AbVal7,TON2,3,3,200,Cytoplasmic. Stains boundary of ECAD+ region.,CAJ_TMA5_7,TMA7,3,3,,,,,,,
CD33,P20138,SIGLEC3,CD33,none,FITC,mouse,6C5/2,IgG1,,Abcam,ab187838,FITC/488,,in progress,,,,,,,100,CAJ_AbVal9,TON2,4,2,,Mitochondria-like staining (100),CAJ_TMA5_7,TMA7,8,2,,,,,,,
DPP4,P27487,,CD26,none,FITC,mouse,BA5b,IgG2a,,BioLegend,302704,FITC/488,,in progress,,,,Level 0,,,x,CAJ_AbVal9,TON2,8,2,100,NO specific staining (100),CAJ_TMA5_7,TMA7,6,2,200,NO stain,,,,,
CSPG4,Q6UVK1,MCSP,NG2,none,Phycoerythrin,mouse,7.1,IgG1,,Abcam,ab228441,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal9,TON2,8,3,,NO specific staining (100),CAJ_TMA5_7,TMA7,6,3,,,,,,,
BOK,Q9UMX3,,BOK,none,none,rabbit,polyclonal,IgG,,Abcam,ab71646,"primary, rabbit",,in progress,,,,,,,x,CAJ_AbVal11,TON2,3,2,100,,CAJ_TMA8_10,TMA8,3,2,Bok,200,,,,,
KRT19,P08727,,CK19,none,Alexa Fluor 555,rabbit,EP1580Y,IgG,H (M),Abcam,ab203444,PE/555/Cy3,xxx,Level 1,,Level 1,,no comment,no comment,Works,1000,CAJ_AbVal5,TON2,5,3,,GOOD (1000). Very specific cells - need to test across tissues,CAJ_TMA8_10,TMA8,17,3,CK19,1000,,,,,
CD274,Q9NZQ7,PDL1;B7H1,CD274,none,Alexa Fluor 488,rabbit,E1L3N,IgG,,CST,14772S,FITC/488,,in progress,,,,,,,x,CAJ_AbVal6,TON2,8,2,,,CAJ_TMA8_10,TMA8,12,2,PDL1,200,,,,,
CD8A,P01732,,CD8A,none,Alexa Fluor 488,mouse,AMC908,IgG2a,,eBioscience,53-0008-80,FITC/488,"T-cells, innate immune cells",Level 2,,,,Level 2,Level 2,JERRY,x,CAJ_AbVal6,TON2,9,2,,,CAJ_TMA8_10,TMA8,8,2,CD8a,200,,,,,
BCL2,P10415,,BCL2,none,none,mouse,124,IgG1,,CST,15071S,"primary, mouse",,in progress,,,,,,,100,CAJ_AbVal9,TON2,3,4,100,Cytoplasmic staining of cells outside GC.,CAJ_TMA8_10,TMA8,3,4,Bcl2,100,,,,,
BBC,Q9BXH1,Bcl2-binding component 3;JFY-1,PUMA,none,Alexa Fluor 488,rabbit,EP512Y,IgG,,Abcam,ab214237,FITC/488,,in progress,,,,,,,100,CAJ_AbVal9,TON2,7,2,,Cytoplasmic staining,CAJ_TMA8_10,TMA8,7,2,PUMA,200,,,,,
BAK1,Q16611,BCL2L7,BAK,none,Phycoerythrin,rabbit,D4E4,IgG,,CST,14155S,PE/555/Cy3,,in progress,,,,,,,100,CAJ_AbVal9,TON2,7,3,,Mitochondria-like staining (100),CAJ_TMA8_10,TMA8,6,3,BAK,100,,,,,
RPS6,P62753,,"S6, ribosomal protein",p_S235/236,Alexa Fluor 647,rabbit,D57.2.2E,IgG,,CST,4851S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,ZM_AbVal1,TON2,6,4,,,CAJ_TMA8_10,TMA8,6,4,pS6-23,300,,,,,
MME,P08473,MME; Neprilysin,CD10,none,Alexa Fluor 488,,,,,Abcam,ab225479,FITC/488,"Neprilysin, B-cell lineage, leukemias, ALL (diasnostic)",Level 1,,,,no comment,no comment,Works,1000,CAJ_AbVal11,TON2,5,2,,"NO cell specific staining (300), high BG",CAJ_TMA8_10,TMA9,12,2,CD10,1000,,,,,
RPS6,P62753,,"S6, ribosomal protein",p_S240/244,Alexa Fluor 488,xxx,D68F8,xxx,,CST,5018S,FITC/488,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,ZM_AbVal1,TON2,6,2,,,CAJ_TMA8_10,TMA9,10,2,pS6-240,100,,,,,
KRT5,P13647,,CK5,none,Alexa Fluor 488,rabbit,EPR1600Y,IgG,H,Abcam,ab207351,FITC/488,xxx,Level 1,,Level 1,,no comment,no comment,Works,5000,CAJ_AbVal5,TON2,6,2,,SATURATING (1000). Test on other tissues,cue,,,,,,ZM2_003_PDAC,all,11,2,
CD69,Q07108,CLEC2C,CD69,none,FITC,mouse,FN50,IgG1,,BioLegend,310904,FITC/488,activated T and NK cells,Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON2,8,2,,,x,,,,,,ZM1_037_Nicole1,LP40,8,2,
LAMP2,P13473,LAMP2,CD107b,none,none,goat,polyclonal,IgG,,R&D Systems,AF6228,"primary, goat","broadly expressed, CD8+T and NK degranulation marker",Level 2,,,,no comment,no comment,no comment,1000,CAJ_AbVal1,TON2,4,3,800,Cytoplasmic. Co-stains the mouse antibody.,cue_orimary,,,,,,ZM2_003_AZ_SMINT,SMINT1;SMINT2,3,3,
TET2,Q6N021,,Tet2,none,none,rabbit,polyclonal,IgG,,GeneTex,GTX124205,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,100,CAJ_AbVal1,TON2,5,2,300,Weak nuclear staining.,x,,,,,,,,,,
LAMP2,P13473,LAMP2,CD107b,none,none,mouse,H4B4,IgG1,,Abcam,ab25631,"primary, mouse","broadly expressed, CD8+T and NK degranulation marker",Level 2,,,,Level 2,Level 2,JERRY,1000,CAJ_AbVal1,TON2,5,4,800,Cytoplasmic. co-stains goat LAMP2 antibody,x,,,,,,,,,,
BCL6,P41182,ZNF51;ZBTB27,BCL6,none,Alexa Fluor 488,mouse,D-8,IgG3,,Santa Cruz Biotechnologies,sc-7388 AF488,FITC/488,,compared to 647,,,,,,,x,CAJ_AbVal11,TON2,8,2,,,x,,,,,,,,,,
ITGAM,P11215,Integrin alpha-M,CD11B,none,Alexa Fluor 555,rabbit,EPR1344,IgG,,Abcam,ab206616,PE/555/Cy3,"NK, CD33+ myeloid, CD14+ myeloid",Level 1,,,,Level 1,Level 0,no comment,x,CAJ_AbVal11,TON2,9,3,,,x,,,,,,,,,,
ICOS,Q9Y6W8,ICOS,CD278,none,none,rabbit,SP98,IgG,,Abcam,ab105227,"primary, rabbit",activated T-cells,Level 1,,,,no comment,no comment,no comment,100,CAJ_AbVal2,TON2,4,2,100,,x,,,,,,,,,,
CD40,P25942,TNFRSF5,CD40,none,none,mouse,mAb89,IgG1,,Novus,DDX0131P-100,"primary, mouse",APCs,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON2,4,4,100,Cytoplasmic. Higher in epithelial and some GC cells. Foci are either aggregates or immune synapses.,x,,,,,,,,,,
KLRB1,Q12918,CLEC5B,CD161,none,none,mouse,B199.2,IgG2b,,Santa Cruz Biotechnologies,sc-58963,"primary, mouse",,Level 2 (ton),,,,,,,x,CAJ_AbVal4,TON2,3,4,50,Cytosplasmic. Co-stains rarecells that are CLECD positive,x,,,,,,,,,,
FDXR,P22570,,FDXR,none,none,rabbit,polyclonal,IgG,,Abcam,ab122900,"primary, rabbit",,,,,,,,,200,CAJ_AbVal5,TON2,3,2,200,"MAYBE (200). High bg, nothing specific",x,,,,,,,,,,
PECAM1,P16284,PECAM-1,CD31,none,none,mouse,JC/70A,IgG1,,Abcam,ab9498,"primary, mouse",,,,,,,,,100,CAJ_AbVal5,TON2,3,4,100,Cytoplasmic staining of blood vessels and some cells.,x,,,,,,,,,,
KRT18,P05783,,CK18,none,Alexa Fluor 488,mouse,LDK18,IgG1,,eBioscience,53-9815-80,FITC/488,,in progress,,,,,,,1000,CAJ_AbVal5,TON2,5,2,,GOOD (1000). Very specific cells - need to test across tissues,cued,,,,,,,,,,
KRT14,P02533,,CK14,none,Alexa Fluor 647,rabbit,EPR17350,IgG,M H (Rt),Abcam,ab206100,647/Cy5,xxx,Level 1,,Level 1,,Level 2,no comment,Works (normal breast),3000,CAJ_AbVal5,TON2,6,4,,SATURATING (). Test in new tissues.,cued,,,,,,,,,,
AKT1,P31749,,AKT1,p_S473,Alexa Fluor 647,xxx,xxx,xxx,,Abcam,ab194200,647/Cy5,xxx,Level 0,,,,no comment,no comment,"ICC, IF",150,CAJ_AbVal6,TON2,7,4,,GOOD (200). Staining of a small region of tonsil. Epithelia?,cued_new,,,,,,,,,,
PDCD1LG2,Q9BQ51,PDL2;B7DC,CD273,none,none,rabbit,D7U8C,IgG,,CST,82723S,"primary, rabbit",xxx,Level 1,,,,no comment,no comment,no comment,x,CAJ_AbVal9,TON2,3,2,100,NO signal (100) - should have some based on primary antibody,x,,,,,,,,,,
TNFRSF18,Q9Y5U5,GITR,CD357,none,none,rabbit,,IgG,,CST,68014T,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON2,3,2,GITR,300,,,,,,,,,,,
LAG3,P18627,Lag3,CD223,none,none,mouse,clone 11E3,IgG1,"H, Mk",Abcam,ab40465,"primary, mouse","activated T-cells, pDC, NK, B-cells",Level 0,,,,no comment,no comment,Ongoing,,Z103_CAJ_AbVal14,TON2,3,4,LAG3,300,x,,,,,,,,,,
,,,CCNB1,none,AF555,rabbit,,,,abcam,ab214381,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON2,7,3,CCNB1,300,,,,,,,,,,,
GATA3,P23771,GATA3,GATA3,none,none,rabbit,EPR16651,IgG,,Abcam,ab199428,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,100,ZM_AbVal1,TON2,2,2,,,x,,,,,,,,,,
FOXO3,O43524,FKHRL1,FOXO3,none,none,goat,polyclonal,IgG,,Santa Cruz Biotechnologies,SC-9812,"primary, goat",xxx,Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal1,TON2,2,3,500,Cytoplasmic in rare cells.,x,,,,,,,,,,
MAPK3;MAPK1,P27361;P28482,p44/42 MAPK; ERK1;ERK2,ERK,p_Y204/Y187,Phycoerythrin,xxx,D1H6G,xxx,,CST,75165S,PE/555/Cy3,xxx,Level 1,,,,Level 1,Level 1,no comment,300,ZM_AbVal1,TON2,5,3,,,x,,,,,,,,,,
CXCR5,P32302,CD185,CXCR5,none,FITC,xxx,J252D4,xxx,,BioLegend,356913,FITC/488,xxx,Level 0,,,,Level 0,Level 0,no comment,x,ZM_AbVal1,TON2,8,2,,,x,,,,,,,,,,
FOXO3,O43524,FKHRL1,FOXO3,none,Alexa Fluor 647,rabbit,EP1949Y,IgG,,Abcam,ab196539,647/Cy5,xxx,in progress,,,,no comment,no comment,no comment,x,ZM_AbVal1,TON2,8,4,,,x,,,,,,,,,,
FOXO3,O43524,FKHRL1,FOXO3,none,Alexa Fluor 647,xxx,EP1949Y,xxx,,Abcam,AB196539,647/Cy5,xxx,Level 0,,,,Level 0,Level 0,no comment,x,ZM_AbVal1,TON2,8,4,,,x,,,,,,,,,,
,,,CD45RO,none,none,mouse,UCHL1,IgG2a,,Dako,M0742,"primary, mouse",naive T-cells,Level 2,,,,Level 2,Level 2,JERRY,500,ZM_AbVal2,TON2,3,4,300,Cytoplasmic staining of cells mostly outside GC,x,,,,,,,,,,
CCR7,P32248,CCR7,CD197,none,none,rabbit,polyclonal,IgG,,Invitrogen,PA5-32299,"primary, rabbit",T-cells and B-cells,Level 2,,,,no comment,no comment,no comment,200,ZM_AbVal2,TON2,4,2,,,x,,,,,,,,,,
VDAC1,P21796,PORIN,VDAC1,none,Alexa Fluor 647,mouse,20B12AF2,IgG2b,H M Rat Dros (Cow),Abcam,ab179840,647/Cy5,xxx,Level 1,,Level 1,,no comment,no comment,no comment,x,CAJ_AbVal5,TON3,6,4,,,CAJ_TMA1,TMA1,5,4,,,,,,,
,multiple,,CK_pan,none,eFluor 570,mouse,AE1/AE3,IgG1,H M,Thermo Fisher,41-9003-82,PE/555/Cy3,,in progress,,Level 2,,,,,1000,ZM_AbVal1,TON3,5,3,,,CAJ_TMA1,TMA1,9,3,,,,,,,
TNFRSF8,P28908,,CD30,none,Alexa Fluor 488,mouse,Her-H2,IgG1,,Santa Cruz Biotechnologies,sc-19658 AF488,FITC/488,,Level 2,VS,,,,,,200,CAJ_AbVal4,TON3,5,2,,,CAJ_TMA8_10,TMA10,8,2,CD30,200,ZM2_009_VIGNESH,ALL_ALK1,4,2,
,,,SHP1,none,Alexa Fluor 488,rabbit,EPR5519,IgG,,Abcam,ab211381,FITC/488,,in progress,,,,,,,x,CAJ_AbVal11,TON3,8,2,,,CAJ_TMA8_10,TMA10,9,2,SHP1,200,AM_TB,TB_B5;TB_C3_TB_E1,16,2,
MERTK,Q12866,MER;c-Mer,MERTK,none,none,goat,polyclonal,IgG,,Abcam,ab110108,"primary, goat",,Level 1 (ton),,,,,,,100,CAJ_AbVal7,TON3,3,3,100,"Cytoplasmic. Weak in GC, higher in rare cell type",CAJ_TMA8_10,TMA10,3,3,MERTK,100,,,,,
TYRO3,Q06418,DTK;BYK;SKY;RSE;TIF,TYRO3,none,none,mouse,96201,IgG1,,R&D Systems,MAB859-SP,"primary, mouse",,Level 1 (ton),,,,,,,x,CAJ_AbVal7,TON3,3,4,100,"Cytoplasmic staining of rare cell types, possibly DCs in GCs.",CAJ_TMA8_10,TMA10,3,4,TYRO3,100,,,,,
SEC61A1,P61619,,SEC61A,none,Alexa Fluor 488,rabbit,EPR14379,IgG,H (M Rt),Abcam,ab205794,FITC/488,,in progress,,Level 1,,,,,100,CAJ_AbVal5,TON3,5,2,,Correct? (100). Mitochondria-like staining.,CAJ_TMA11_13,TMA11,15,2,SEC61A,100,,,,,
,,,Hsp70,none,FITC,mouse,C92F3A-5,IgG,,Abcam,ab61907,FITC/488,,in progress,,,,,,,200,CAJ_AbVal5,TON3,8,2,,GOOD (200). Nuclear in epithelial cells. Consistent with other Hsp70.,CAJ_TMA11_13,TMA11,14,2,Hsp70-FITC,200,,,,,
OGT1,O15294,,OGT,none,Alexa Fluor 555,rabbit,EPR12713,IgG,H (M Rt),Abcam,ab215809,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON3,7,3,OGT,400,CAJ_TMA11_13,TMA11,12,3,OGT,300,,,,,
,,,LMNB2,none,Alexa Fluor 647,rabbit,EPR9701(B),IgG,H (M Rt),abcam,ab200427,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON3,7,4,LMNB2,500,CAJ_TMA11_13,TMA11,13,4,LMNB2,200,,,,,
CD38,P28907,,CD38,none,Alexa Fluor 488,mouse,HIT2,IgG1,,BioLegend,303512,FITC/488,,in progress,,,,,,,x,CAJ_AbVal1,TON3,8,2,,,CAJ_TMA11_13,TMA12,6,2,CD38,100,ZM2_009_VIGNESH,ALL_ALK1,11,2,
ICAM3,P32942,,CD50,none,FITC,mouse,CBR-IC3/1,IgG1,,Thermo Fisher,BMS111FI,FITC/488,,in progress,,,,,,,100,CAJ_AbVal9,TON3,7,2,,NO signal (100),CAJ_TMA11_13,TMA12,14,2,CD50,100,,,,,
,what subunit?,,CD3,none,eFluor 660,mouse,OKT3,IgG2a,H,eBioscience,50-0037-41,647/Cy5,T-cells,Level 0,,,,Level 0,Level 0,Works,x,ZM_AbVal2,TON3,6,4,,,CAJ_TMA11_13,TMA12,10,4,CD3,200,,,,,
CD28,P10747,,CD28,none,none,goat,polyclonal,IgG   ,,Abcam,ab113358,"primary, goat",,Level 0 (ton),,,,,,,x,CAJ_AbVal11,TON3,3,3,100,Not specific for T-cells,CAJ_TMA11_13,TMA13,3,3,CD28,100,,,,,
CD4,P01730,,CD4,none,Alexa Fluor 488,goat,polyclonal,IgG,,R&D Systems,FAB8165G,FITC/488,"T-cells, some macrophages",Level 3,DuZ_ImmuneProfiling; Triplet,,,Level 2,Level 2,Works,200,CAJ_AbVal4,TON3,6,2,,,CAJ_TMA2_4,TMA2,5,2,,,ZM1_059_Nicole4,BP10,7,2,
